flag,address from,address to,timestamp,amount,gasUsed,contractInteracted
1,0x03ffe9db25d050379725e083344f86a4c53aae7e,0xcaedcba7e864532aa1745ca7af5923d17029ad52,1530538873,674262050000000000,21000,
1,0xcaedcba7e864532aa1745ca7af5923d17029ad52,0x6aa36553f97d5965566697bafcfda5d69a5bc6d7,1530539891,672162050000000000,21000,
1,0x32be343b94f860124dc4fee278fdcbd38c102d88,0xcaedcba7e864532aa1745ca7af5923d17029ad52,1531093951,990752880000000000,21000,
1,0xcaedcba7e864532aa1745ca7af5923d17029ad52,0xb8cf411b956b3f9013c1d0ac8c909b086218207c,1531094731,990437880000000000,21000,
1,0x3ba479999785f16ab18548161199928a573f5925,0xcaedcba7e864532aa1745ca7af5923d17029ad52,1531989309,400000000000000000,21000,
1,0xcaedcba7e864532aa1745ca7af5923d17029ad52,0xb8cf411b956b3f9013c1d0ac8c909b086218207c,1531989958,399790000000000000,21000,
1,0x2b0816b082778a94eb3bcacab0d84b48f8eb85cd,0xcaedcba7e864532aa1745ca7af5923d17029ad52,1533100920,750501840000000000,21000,
1,0xcaedcba7e864532aa1745ca7af5923d17029ad52,0x87ad3f8573e96308eaef597dde8d9dcfb19202d2,1533101517,750291840000000000,21000,
1,0xec674dd931bf5622df7969ec165b778dfc063ee0,0xcaedcba7e864532aa1745ca7af5923d17029ad52,1534611917,170000000000000000,21000,
1,0xcaedcba7e864532aa1745ca7af5923d17029ad52,0xb8cf411b956b3f9013c1d0ac8c909b086218207c,1534612264,169790000000000000,21000,
1,0x524d44d2b8cddc46d52f4c81fd0fe57cb755c9cb,0xcaedcba7e864532aa1745ca7af5923d17029ad52,1535838378,1500000000000000000,21000,
1,0xcaedcba7e864532aa1745ca7af5923d17029ad52,0xb8cf411b956b3f9013c1d0ac8c909b086218207c,1535838693,1499790000000000000,21000,
1,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xcaee0cfb618111256a155002009c9471f9c26a5a,1552776522,59930000000000000,21000,
1,0xc22b67a477e562887df4e2109fba8f7f97f52835,0xcaee0cfb618111256a155002009c9471f9c26a5a,1574692183,10000000000000000,21000,
